publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2023p812345,earthquake,2023-10-28T13:37:52.125Z,2023-10-28T13:43:13.689Z,171.05896,-43.6763916,2.294113619,3.412526846,MLv,,LOCSAT,confirmed,manual,iasp91,28,19,3,0.03838152438,43.39085388,0.4147634937,0.229348919
2023p809419,earthquake,2023-10-27T11:38:36.642Z,2023-10-27T11:45:13.726Z,172.2763062,-41.83081436,2.388329172,66.01940918,MLv,,LOCSAT,confirmed,manual,iasp91,35,23,2,0.2433339506,87.30631733,0.5021731932,0.1383131234
2023p807989,earthquake,2023-10-26T22:56:56.004Z,2023-10-26T23:07:03.757Z,173.3462372,-40.89666748,2.374146955,69.0113678,MLv,,LOCSAT,confirmed,manual,iasp91,18,13,3,0.3211173117,161.3390961,0.1748372927,0.1441365358
2023p807184,earthquake,2023-10-26T15:47:46.719Z,2023-10-26T15:52:23.850Z,167.3871765,-44.82406616,2.444444119,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,12,2,0.4127277434,219.2442436,0.566764538,0.2139132582
2023p804889,earthquake,2023-10-25T19:25:20.990Z,2023-10-25T20:47:12.717Z,172.3187408,-41.59667969,2.541174365,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,17,9,5,0.2032124251,122.9211159,0.3877167275,0.171193561
2023p804729,earthquake,2023-10-25T17:59:38.866Z,2023-10-25T20:44:48.108Z,173.2028046,-41.61140442,2.005764957,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,20,14,5,0.2288888544,72.98963928,0.6026264108,0.2666425631
2023p804557,earthquake,2023-10-25T16:28:00.870Z,2023-10-25T16:42:23.261Z,172.7456207,-40.76238632,2.439916831,6.199459553,MLv,,LOCSAT,confirmed,manual,iasp91,16,12,7,0.1041319072,119.3238068,0.308334119,0.2277876699
2023p803978,earthquake,2023-10-25T11:19:54.739Z,2023-10-25T11:27:13.186Z,172.7384033,-40.7667923,2.035136627,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,14,12,4,0.1037064567,117.319191,0.3764117829,0.3168302513
2023p803702,earthquake,2023-10-25T08:52:43.233Z,2023-10-25T08:59:00.645Z,171.0053406,-43.4511261,2.053499791,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,14,11,3,0.2657375038,52.141922,0.3735909869,0.3093334351
2023p803372,earthquake,2023-10-25T05:56:47.371Z,2023-10-25T06:24:29.902Z,168.582489,-44.58787918,2.617368859,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,18,15,3,0.30364573,116.4439468,0.427082508,0.1696971488
